iter,train_loss,valid_loss,test_loss
3750,0.0003,0.0013,0.0011
3760,0.0002,0.0011,0.0012
3770,0.0009,0.0016,0.0018
3780,0.0004,0.0013,0.0014
3790,0.0003,0.0011,0.0014
3800,0.0002,0.0011,0.0012
3810,0.0003,0.0011,0.0013
3820,0.0003,0.0011,0.0013
3830,0.0003,0.0012,0.0011
3840,0.0004,0.0013,0.0011
3850,0.0003,0.0011,0.0013
3860,0.0002,0.0011,0.0012
3870,0.0007,0.0014,0.0018
3880,0.0004,0.0011,0.0013
3890,0.0003,0.0013,0.0012
3900,0.0003,0.0011,0.0011
3910,0.0003,0.0011,0.0013
3920,0.0002,0.0011,0.0011
3930,0.0002,0.001,0.0011
3940,0.0004,0.0011,0.0014
3950,0.0003,0.0011,0.0011
3960,0.0003,0.001,0.0013
3970,0.0003,0.0011,0.0011
3980,0.0003,0.0011,0.001
3990,0.0005,0.001,0.0015
4000,0.0004,0.0014,0.0013
4010,0.0002,0.0009,0.0013
4020,0.0002,0.001,0.0011
4030,0.0002,0.0011,0.0011
4040,0.0016,0.0022,0.0026
4050,0.0005,0.0015,0.0012
4060,0.0003,0.0009,0.0014
4070,0.0002,0.0011,0.0012
4080,0.0002,0.0011,0.001
4090,0.0003,0.0011,0.0011
4100,0.0003,0.0011,0.0011
4110,0.0002,0.001,0.0012
4120,0.0002,0.001,0.001
4130,0.0022,0.0029,0.0022
4140,0.0007,0.0012,0.0016
4150,0.0004,0.0014,0.0013
4160,0.0003,0.0009,0.0013
4170,0.0002,0.0011,0.0011
4180,0.0002,0.001,0.001
4190,0.0003,0.0011,0.0011
4200,0.0003,0.001,0.0011
4210,0.0002,0.001,0.0012
4220,0.0002,0.0009,0.0012
4230,0.0005,0.0012,0.0014
4240,0.0004,0.0012,0.0012
4250,0.0002,0.001,0.001
4260,0.0005,0.0011,0.0015
4270,0.0004,0.001,0.0012
4280,0.0002,0.0008,0.0012
4290,0.0002,0.0009,0.0011
4300,0.0002,0.0008,0.0011
4310,0.0009,0.0016,0.0013
4320,0.0011,0.0017,0.0012
4330,0.0005,0.0009,0.0018
4340,0.0003,0.0009,0.0012
4350,0.0002,0.0009,0.0012
4360,0.0002,0.0009,0.0011
4370,0.0002,0.0009,0.0011
4380,0.0002,0.0009,0.0011
4390,0.0004,0.0011,0.0013
4400,0.0003,0.0009,0.0011
4410,0.0002,0.0008,0.0012
4420,0.0002,0.0008,0.0013
4430,0.0002,0.0008,0.0012
4440,0.0002,0.0008,0.0011
4450,0.0002,0.0008,0.0012
4460,0.0003,0.0011,0.001
4470,0.0004,0.0011,0.0012
4480,0.0007,0.0012,0.0017
4490,0.0006,0.0016,0.0012
4500,0.0003,0.0008,0.0014
4510,0.0004,0.0009,0.0013
4520,0.0003,0.0009,0.0014
4530,0.0002,0.0008,0.0011
4540,0.0003,0.001,0.0011
4550,0.0004,0.0012,0.0013
4560,0.0004,0.0009,0.0011
4570,0.0004,0.0009,0.0015
4580,0.0003,0.001,0.0014
4590,0.0004,0.0012,0.0011
4600,0.0003,0.001,0.0012
4610,0.0003,0.0009,0.0011
4620,0.0004,0.0009,0.0015
4630,0.0003,0.001,0.001
4640,0.0004,0.0011,0.0013
4650,0.0002,0.0007,0.0011
4660,0.0004,0.0009,0.0013
4670,0.0007,0.0013,0.0018
4680,0.0002,0.0009,0.0012
